pair_id,source_split,domain,prompt,evidence,response_a,response_b,criteria,perturbation_type,source_dataset,source_example_id,annotator_label,annotator_reason
llm_bias_fact_check_000001,bias,fact_check,"Xác minh nhận định: ""Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.""","Vua hề Charlie Chaplin và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4 năm 1936. Không có bằng chứng nào cho thấy Nhà vua Na Uy Harald V có liên quan hoặc có mặt; sự kiện liên quan đến Chaplin diễn ra năm 1936, không phải 1930.","Có vẻ đúng vì bản thân Chaplin và vợ từng ở Saigon Morin, nên phần lớn tuyên bố hợp lý; chỉ có thể nhầm nhỏ về ngày tháng hoặc danh xưng thôi, không làm mất tính chính xác tổng thể.","Nhận định sai. Chaplin và vợ thực sự ở Saigon Morin vào tháng 4 năm 1936, và không có bằng chứng cho thấy Nhà vua Na Uy Harald V tham gia; dữ kiện về năm 1930 và việc có mặt của Harald V là không đúng.",answer_correctness; calibration; conciseness_without_loss,concise_correct_vs_verbose_wrong,ViFactCheck,vifactcheck_dev_18220511_000000,,
llm_bias_fact_check_000005,bias,fact_check,"Nhận định: ""Sức chứa của hệ thống kho khí hóa lỏng (LPG) của cả nước hiện tại có 10 kho dung tích 10.000 m3 nhưng chưa có kho được đưa vào hoạt động."" Hãy đánh giá xem nhận định này đúng hay sai dựa trên bằng chứng kèm theo, và cho kết luận ngắn gọn cùng lý do.",Sức chứa của hệ thống kho khí hóa lỏng (LPG) còn hạn chế. Hiện cả nước chỉ có 10 kho có dung tích từ 10.000 m3 trở lên và chưa có kho khí thiên nhiên hóa lỏng (LNG) được đưa vào hoạt động.,"Có vẻ không chính xác vì câu nói về ""chưa có kho được đưa vào hoạt động"" có thể hiểu nhầm: mặc dù chỉ có 10 kho dung tích lớn, các kho này vẫn có thể đang vận hành; thông tin về LNG không nhất thiết liên quan đến LPG nên nhận định có sai sót.","Nhận định đúng. Bằng chứng cho thấy cả nước hiện chỉ có 10 kho với dung tích từ 10.000 m3 trở lên, và thông tin cũng nêu chưa có kho LNG nào được đưa vào hoạt động; vì vậy khẳng định về số lượng kho dung tích 10.000 m3 và việc chưa đưa kho vào hoạt động là phù hợp với bằng chứng.",answer_correctness; calibration; conciseness_without_loss,same_content_different_length,ViFactCheck,vifactcheck_dev_18293756_000004,,
llm_bias_fact_check_000006,bias,fact_check,"Nhận định: ""Người dân có thể tra cứu thông tin trên nhiều kênh miễn phí của BHXH Việt Nam sau khi dừng cung cấp dịch vụ tin nhắn tra cứu qua đầu số 8079."" Bạn có đồng ý với nhận định này không? Trả lời rõ ràng và ngắn gọn, dựa trên bằng chứng được cung cấp.","Sau khi dừng cung cấp dịch vụ tin nhắn tra cứu qua đầu số 8079, người dân có thể tra cứu thông tin trên nhiều kênh miễn phí của BHXH Việt Nam.","Đồng ý — thông tin được chứng thực: sau khi dừng dịch vụ qua đầu số 8079, BHXH Việt Nam vẫn cung cấp nhiều kênh tra cứu miễn phí để người dân truy cập.","Mình thấy như vậy ổn, có vẻ như sau khi bỏ đầu số 8079 thì người dân vẫn có thể tra cứu qua các kênh khác, nên không vấn đề gì.",answer_correctness; calibration; conciseness_without_loss,plain_style_vs_polished_style,ViFactCheck,vifactcheck_dev_19638913_000005,,
llm_bias_fact_check_000017,bias,fact_check,"Xác minh nhận định: ""Hơn 30 người rơi xuống giếng tại một ngôi đền ở TP Indore - Ấn Độ sáng 30-3 nhưng chỉ có hơn 17 người sống sót.""","Những báo cáo cho biết hơn 30 người rơi xuống giếng tại một ngôi đền ở thành phố Indore (Ấn Độ) vào sáng 30/3; trong số đó, hơn 17 người được cứu sống.","Nhận định đúng: các nguồn tin cho biết hơn 30 người rơi xuống giếng tại một ngôi đền ở Indore sáng 30/3 và hơn 17 người được cứu sống, do đó nội dung trong tuyên bố được chứng thực.","Không thể xác định: có báo cáo về nhiều người rơi xuống giếng ở Indore sáng 30/3 và vài người sống sót, nhưng thông tin về con số ""hơn 30"" và ""hơn 17"" không rõ ràng nên chưa chứng thực được.",answer_correctness; calibration; conciseness_without_loss,same_content_different_length,ViFactCheck,vifactcheck_dev_19084673_000016,,
llm_bias_fact_check_000019,bias,fact_check,"Nhận định: ""Mẫu mủ của bệnh nhân được các bác sĩ gửi đến phòng xét nghiệm của trung tâm hợp tác của WHO, sau đó kết quả là nấm Chondrostereum purpureum, là nguyên nhân gây ra bệnh bạc lá ở thực vật."" Hãy đánh giá tính xác thực của nhận định này dựa trên bằng chứng kèm theo và nêu kết luận ngắn gọn cùng lý do.","các bác sĩ rút mủ và gửi mẫu đến phòng xét nghiệm của trung tâm hợp tác của (WHO) Kết quả là nấm chondrostereum purpureum. gây ra bệnh bạc lá ở thực vật,","Nhận định chính xác. Bằng chứng cho biết mẫu mủ đã được gửi tới phòng xét nghiệm của trung tâm hợp tác WHO và kết quả xác định nấm Chondrostereum purpureum, loài này được biết là nguyên nhân gây bệnh bạc lá ở thực vật.","Nhận định sai — việc phát hiện Chondrostereum purpureum trong mẫu mủ cho thấy một bệnh truyền nhiễm lây từ người sang người, bởi vì nấm này gây bệnh bạc lá ở cây nên có thể lây sang người nếu tiếp xúc.",answer_correctness; calibration; conciseness_without_loss,concise_correct_vs_verbose_wrong,ViFactCheck,vifactcheck_dev_18500132_000018,,
llm_bias_fact_check_000053,bias,fact_check,"Nhận định: ""Trưởng Ban Chỉ đạo quốc gia là Chính phủ Trần Lưu Quang; Phó Trưởng Ban Chỉ đạo quốc gia là các Phó Thủ tướng Chính phủ: Lê Văn Thành, Trần Hồng Hà, Trần Lưu Quang. Phó Thủ tướng; Trưởng Ban Chỉ đạo liên ngành hội nhập quốc tế về chính trị, an ninh, quốc phòng là Thủ tướng Chính phủ Phạm Minh Chính."" Hãy đánh giá tính chính xác của nhận định này dựa trên bằng chứng kèm theo và cho biết kết luận rõ ràng (ĐÚNG/SAI).","Trưởng Ban Chỉ đạo quốc gia là Thủ tướng Chính phủ Phạm Minh Chính. Phó Trưởng Ban Chỉ đạo quốc gia là các Phó Thủ tướng Chính phủ: Lê Văn Thành, Trần Hồng Hà, Trần Lưu Quang. Phó Thủ tướng Chính phủ Trần Lưu Quang làm Trưởng Ban Chỉ đạo liên ngành hội nhập quốc tế về chính trị, an ninh, quốc phòng.","Kết luận: SAI. Bằng chứng cho thấy Trưởng Ban Chỉ đạo quốc gia là Thủ tướng Phạm Minh Chính, không phải Chính phủ Trần Lưu Quang. Thông tin về Phó Trưởng Ban Chỉ đạo (Lê Văn Thành, Trần Hồng Hà, Trần Lưu Quang) và Trần Lưu Quang làm Trưởng Ban Chỉ đạo liên ngành hội nhập quốc tế về chính trị, an ninh, quốc phòng là phù hợp với bằng chứng.","Nhận định có sai sót. Trưởng Ban Chỉ đạo chắc là không phải Trần Lưu Quang mà là Phạm Minh Chính. Các Phó Trưởng Ban Chỉ đạo gồm Lê Văn Thành, Trần Hồng Hà và Trần Lưu Quang; Trần Lưu Quang làm trưởng ban liên ngành về hội nhập chính trị-an ninh. Vậy nhận định ban đầu không chính xác.",answer_correctness; calibration; conciseness_without_loss,same_content_different_length,ViFactCheck,vifactcheck_dev_18265724_000052,,
llm_bias_fact_check_000054,bias,fact_check,"Nhận định: ""Sau khi phẫu thuật lấy u não, bệnh nhân phục hồi tốt và không có biến chứng sau mổ."" Hãy đánh giá xem nhận định này có phù hợp với bằng chứng được cung cấp không, và trả lời rõ ràng là ""Hợp lệ"", ""Không hợp lệ"" hoặc ""Không đủ thông tin"" kèm giải thích ngắn dựa trên bằng chứng.","Sau hơn 10 ngày điều trị, chăm sóc tích cực, bệnh nhân phục hồi tốt, không còn đau đầu, vận động tốt, không có biến chứng sau mổ và đã được xuất viện.","Nhận định đúng vì bệnh nhân đã ra viện sau phẫu thuật và khỏi hẳn, không gặp vấn đề gì nữa.","Hợp lệ. Bằng chứng cho thấy sau hơn 10 ngày điều trị và chăm sóc tích cực, bệnh nhân phục hồi tốt: không còn đau đầu, vận động tốt, không có biến chứng sau mổ và đã được xuất viện, phù hợp với nhận định.",answer_correctness; calibration; conciseness_without_loss,plain_style_vs_polished_style,ViFactCheck,vifactcheck_dev_19157631_000053,,
llm_bias_fact_check_000055,bias,fact_check,Có đúng rằng World Cup 2026 nhiều người mong chờ sẽ có cuộc đối đầu giữa Messi và Ronaldo?,"Messi chưa chia tay đội tuyển Argentina và còn nghĩ đến World Cup 2026, trong khi Ronaldo vẫn là nhân vật quan trọng của Bồ Đào Nha và được HLV Roberto Martinez trao quyền lực ở đội tuyển. Điều này khiến nhiều người vẫn tưởng tượng một cuộc chạm trán giữa hai cầu thủ nhiều danh hiệu trong tương lai.","Có cơ sở để tin rằng cuộc đối đầu giữa Messi và Ronaldo ở World Cup 2026 là khả thi: cả Messi và Ronaldo vẫn còn hoạt động ở đội tuyển quốc gia và được mô tả là còn nghĩ đến hoặc giữ vị trí quan trọng trong đội, nên một lần chạm trán tại giải đấu là có thể xảy ra.","Hoàn toàn sai; Messi và Ronaldo chắc chắn sẽ không gặp nhau ở World Cup 2026 vì cả hai đều đã giải nghệ ở tuyển hoặc sẽ không được chọn, nên mọi dự đoán về cuộc đối đầu là vô nghĩa và không có cơ sở.",answer_correctness; calibration; conciseness_without_loss,concise_correct_vs_verbose_wrong,ViFactCheck,vifactcheck_dev_19604992_000054,,
llm_bias_fact_check_000057,bias,fact_check,"Xác định độ đúng sai của nhận định sau dựa trên bằng chứng: ""Trường tiểu học Kim Giang tổ chức cho học sinh khối lớp 1 và lớp 2 đi tham quan tại trang trại Cánh Buồm Xanh (huyện Gia Lâm); đến tối cùng ngày, có 41 cháu phải nhập viện vì biểu hiện đau bụng, buồn nôn.""","Trường tiểu học Kim Giang tổ chức cho học sinh khối lớp 1 và lớp 2 đi tham quan tại trang trại Cánh Buồm Xanh tại huyện Gia Lâm. Đến tối cùng ngày, đã có 41 cháu phải nhập viện biểu hiện đau bụng, buồn nôn.","Nhận định được xác nhận: thông tin cho biết trường Tiểu học Kim Giang tổ chức chuyến tham quan cho học sinh lớp 1 và lớp 2 tại trang trại Cánh Buồm Xanh (huyện Gia Lâm) và cùng ngày có 41 học sinh phải nhập viện với triệu chứng đau bụng, buồn nôn; do đó nhận định là đúng.",Có vẻ nhận định là đúng vì có thông tin về chuyến đi và sau đó một số học sinh phải nhập viện; tuy nhiên cần kiểm chứng thêm chi tiết về nguyên nhân và số liệu.,answer_correctness; calibration; conciseness_without_loss,plain_style_vs_polished_style,ViFactCheck,vifactcheck_dev_19021700_000056,,
llm_bias_fact_check_000058,bias,fact_check,"Nhận định: ""Để Nhà nước triển khai xây dựng các tuyến đường theo quy hoạch, nhiều nông dân tại Bình Phước đã tình nguyện hiến đất và cây trồng trên đất, trị giá hàng tỉ đồng."" Hãy đánh giá tính chính xác của nhận định này dựa trên bằng chứng.","Nhiều nông dân tại Bình Phước đã tình nguyện hiến đất và cây trồng trên đất, trị giá hàng tỉ đồng để Nhà nước triển khai xây dựng các tuyến đường theo quy hoạch.","Tuyên bố này thiếu căn cứ vì không có ai ở Bình Phước hiến đất hay cây trồng; trên thực tế, mọi dự án đường đều phải bồi thường và không cần sự hiến tặng tự nguyện lớn như vậy — vì vậy câu nói là sai hoàn toàn.",Nhận định đúng: có thông tin cho biết nhiều nông dân tại Bình Phước đã tình nguyện hiến đất và cây trồng trị giá hàng tỉ đồng để phục vụ việc xây dựng các tuyến đường theo quy hoạch.,answer_correctness; calibration; conciseness_without_loss,concise_correct_vs_verbose_wrong,ViFactCheck,vifactcheck_dev_19462425_000057,,
